Course Code,Course Name,Course Credits,Prerequisite(s),Exclusion(s),Corequisite(s),Co-list with,Mode of Delivery,Previous Course Code(s),Alternate code(s),Description
math3312,Numerical Analysis,3 Credit(s),(COMP 1021 / COMP 1022P / COMP 1022Q (prior to 2020-21)) AND (MATH 2111 / MATH 2121 / MATH 2131 / MATH 2350) AND (MATH 2031 / MATH 2033 / MATH 2043),MECH 4740@ PHYS 3142,,,,,,Basic numerical analysis@ including stability of computation@ linear systems@ eigenvalues and eigenvectors@ nonlinear equations@ interpolation and approximation@ numerical integration and solution of ordinary differential equations@ optimization.
math3322,Matrix Computation,3 Credit(s),MATH 2111 OR MATH 2121 OR MATH 2131 OR MATH 2350,,,,,,,This course will introduce some basic matrix analysis theory and some popular matrix computation algorithms@ and illustrate how they are actually used in data science. Specific topics include advanced linear algebra such as orthogonal projections and vector and matrix norms; the theories and computations of matrix factorizations such as QR decomposition@ Singular Value Decomposition (SVD)@ and Schur decomposition; and applications to data analysis problems such as principle component analysis via SVD and collaborative filtering via matrix completion.
math3332,Data Analytic Tools,3 Credit(s),(MATH 2011 OR MATH 2023) AND (MATH 2111 OR MATH 2121 OR MATH 2131 OR MATH 2350),,,,,,,This course will introduce to the students some mathematical analysis tools that are useful for data analysis. The topics include Fourier analysis@ wavelet analysis@ function expansions@ and basic functional analysis (Banach space@ Hilbert spaces@ linear operators@ contract mapping@ etc)@ and basic convex analysis (subgradient@ convex conjugate).
math3343,Combinatorial Analysis,3 Credit(s),MATH 2121/MATH 2111/MATH 2350/MATH 2131; or MATH 2343/COMP 2711,,,,,,,An introduction to combinatorics: What is combinatorics? Permutations and combinations@ binomial theorem@ generating permutations and combinations@ pigeonhole principle@ Ramsey theory@ inclusion-exclusion principle@ rook polynomials@ linear recurrence relations@ nonhomogeneous linear recurrence relations of the first and second order@ generating functions@ Catalan numbers@ Stirling numbers@ partition numbers@ matchings and stable matchings@ systems of distinctive representatives@ block designs@ Steiner triple systems@ Latin squares@ Burnside#s lemma@ Polya counting formula.
math3423,Statistical Inference,3 Credit(s),MATH 2421 OR MATH 2431,,,,,,,Sampling theory@ order statistics@ limiting distributions@ point estimation@ confidence intervals@ hypothesis testing@ non-parametric methods.
math3424,Regression Analysis,3 Credit(s),MATH 3423,ISOM 5520,,,,,,Estimation and hypothesis testing in linear regression@ residual analysis@ multicollinearity@ indicator variables@ variable selection@ nonlinear regression.
math3425,Stochastic Modeling,3 Credit(s),MATH 2421 OR MATH 2431,,,,,,,Discrete time Markov chains and the Poisson processes. Additional topics include birth and death process@ elementary renewal process and continuous-time Markov chains.
math3426,Sampling,3 Credit(s),MATH 2411,,,,,,,Basic and standard sampling design and estimation methods. Particular attention given to variance estimation in sampling procedures. Topics include: simple random sampling@ unequal probability sampling@ stratified sampling@ ratio and subpopulation and multistage designs.
math3427,Bayesian Statistics,3 Credit(s),MATH 2421 OR MATH 2431 OR ELEC 2600 OR ELEC 2600H OR ISOM 3540,,,,,,,This course provides a basic training of Bayesian statistics. Some ideas and principles of Bayesian including prior and posterior distributions@ conjugate priors@ Bayesian estimates@ empirical Bayes@ Bayesian hypothesis testing@ Bayesian model selection and Bayesian networking are covered. Other Bayesian tools such as Bayesian decision theory@ Bayesian data analysis@ and Bayesian computational skills will also be discussed. An open-source@ freely available software R will be used to implement these computational and data analytics skills. Hands-on experience and case studies such as pattern recognition and spam filtering will also be provided to students. Completion of this course will give students access to a wide range of Bayesian analytical tools@ customizable to real data.
math3900,Communicating Mathematics to the Public,1 Credit(s),,,,,,,,This project-based course allows students to develop expertise in mathematics outreach and knowledge transfer@ as well as understand industrially and academically relevant skills. The course exposes students to promoting mathematics to the public. Activities may include lectures@ seminars@ workshops@ and sharing sessions. Outputs will be diverse and may consist of exhibits@ workshops@ or presentations to be delivered in schools@ online activities@ and digital apps to be posted on websites or social media platforms. For MATH students only.
math4023,Complex Analysis,3 Credit(s),(MATH 2011 OR MATH 2023 OR MATH 3043) AND (MATH 2033 OR MATH 2043),,,,,,,Complex differentiability; Cauchy-Riemann equations; contour integrals@ Cauchy theory and consequences; power series representation; isolated singularities and Laurent series; residue theorem; conformal mappings.
math4033,Calculus on Manifolds,3 Credit(s),Grade A- or above in MATH 2023 AND B- or above in MATH 2131,,,,,,,Introduction to manifolds@ metric spaces@ multi-linear Algebra@ differential forms@ Stokes theorem on manifolds@ cohomology.
math4051,Theory of Ordinary Differential Equations,3 Credit(s),(MATH 2350 OR MATH 2351 OR MATH 2352) AND (MATH 3033 OR MATH 3043),,,,,,,Existence and uniqueness theorems of ordinary differential equations@ theory of linear systems@ stability theory@ study of singularities@ boundary value problems.
math4052,Partial Differential Equations,3 Credit(s),MATH 2011/MATH 2023/MATH 3043 and MATH 2111/MATH 2121/MATH 2131/MATH 2350 and MATH 2350/MATH 2351/MATH 2352,,,,,,,Derivations of the Laplace equations@ the wave equations and diffusion equation; Methods to solve equations: separation of variables@ Fourier series and integrals and characteristics; maximum principles@ Green#s functions.
math4061,Topics in Modern Analysis,2 Credit(s),MATH 3043 or MATH 3033,,,,,,,Examples and properties of metric spaces.  Contractive mapping theorem@ Baire category theorem@ Stone-Weierstrass theorem@ Arzela-Ascoli theorem.  Properties of normed spaces and Hibert spaces.  Riesz theorem.  Completeness of Lp functions@ continuous functions and functions of bounded variations.  Best approximation theorem on Hilbert space.
math4063,Functional Analysis,2 Credit(s),MATH 4061,,,,,,,Topological vector spaces.  Hahn-Banach theorem@ open mapping theorem@ closed graph theorem@ uniform boundedness theorem@ separation theorem@ Krein-Milman theorem.  Weak topologies and reflexivity.  Adjoints and duality.  Compact and Fredholm operators with index.  Normal operators.  Spectral theorem for compact normal operators.
math4141,Number Theory and Applications,3 Credit(s),MATH 2131,,(for students without prerequisites) MATH 3121,,,,,Prime numbers@ unique factorization@ modular arithmetic@ quadratic number fields@ finite fields@ p-adic numbers@ coding theory@ computational complexity.
math4151,Introduction to Lie Groups,3 Credit(s),(MATH 2011 OR MATH 2023 OR MATH 3043) AND (MATH 2111 OR MATH 2121 OR MATH 2131 OR MATH 2350),,,,,,,General linear groups@ orthogonal groups@ unitary groups@ symplectic groups@ exponential maps@ maximal tori@ Clifford algebra@ spin groups.
math4221,Euclidean and Non-Euclidean Geometries,3 Credit(s),MATH 2033 OR MATH 2043 OR MATH 2111 OR MATH 2121 OR MATH 2131 OR MATH 2350,,,,,,,Axioms and models@ Euclidean geometry@ Hilbert axioms@ neutral (absolute) geometry@ hyperbolic geometry@ Poincare model@ independence of parallel postulate.
math4223,Differential Geometry,3 Credit(s),MATH 2011/MATH 2023/MATH 3043 and MATH 2121/MATH 2131,,,,,,,Curve theory; curvature and torsion@ Frenet-Serret frame; surface theory: Weingarten map@ first and second fundamental forms@ curvatures@ Gaussian map@ ruled surface@ minimal surface; instrinsic geometry: Theorema Egregium@ Coddazi-Mainardi equations@ parallel transport@ geodesics@ exponential map@ Gauss-Bonnet theorem.
math4225,Topology,3 Credit(s),MATH 2033/MATH 2043,,,,,,,Metric@ topology@ continuous map@ Hausdorff@ connected@ compact@ graph@ Euler number@ CW-complex@ classification of surfaces.
math4321,Game Theory,3 Credit(s),(MATH 2011 OR MATH 2023 OR MATH 3043) AND (MATH 2111 OR MATH 2121 OR MATH 2131 OR MATH 2350),ECON 4124,,,,,,Zero-sum games; minimax theorem; games in extensive form; strategic equilibrium; bi-matrix games; repeated Prisonner#s Dilemma; evolutionary stable strategies; games in coalition form; core; Shapley Value; Power Index; two-side matching games.
